user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
6PEH_6_R.bin.1	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.7%)
6PEH_6_R.bin.10	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Enterobacteriaceae_A;g__Arsenophonus;s__Arsenophonus apicola	GCF_020268605.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Enterobacteriaceae_A;g__Arsenophonus;s__Arsenophonus apicola	99.91	0.995	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900343025.1, s__Arsenophonus sp900343025, 95.0, 88.28, 0.645; GCF_001640365.1, s__Arsenophonus triatominarum, 95.0, 89.17, 0.348; GCF_000757905.1, s__Arsenophonus nilaparvatae, 95.0, 89.78, 0.758; GCF_029873475.1, s__Arsenophonus sp029873475, 95.0, 93.86, 0.91; GCF_902713415.1, s__Arsenophonus sp902713415, 96.59, 89.87, 0.579; GCF_000429565.1, s__Arsenophonus nasoniae, 95.0, 92.18, 0.853	N/A	N/A	N/A	N/A
6PEH_6_R.bin.11	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	37.87	11	0.9214	N/A
6PEH_6_R.bin.12	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
6PEH_6_R.bin.13	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Nicoliella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Nicoliella;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	59.33	11	0.92488	N/A
6PEH_6_R.bin.14	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Nicoliella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Nicoliella;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	64.18	11	0.92615	Genome has more than 12.5% of markers with multiple hits
6PEH_6_R.bin.15	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	18.23	11	0.94264	N/A
6PEH_6_R.bin.16	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Philodulcilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Philodulcilactobacillus;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	10.09	11	0.93707	N/A
6PEH_6_R.bin.17	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructobacillus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_963580165.1, s__Fructobacillus evanidus, 95.0, 80.7, 0.158; GCF_001047135.2, s__Fructobacillus tropaeoli, 95.0, 79.85, 0.151	93.88	11	0.9957	N/A
6PEH_6_R.bin.18	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Acetilactobacillus;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	28.36	11	0.93795	N/A
