user_genome	is_ani_classification	class_tree_mapped	classification_rule
5MMH_5_R.bin.10	False	6	Rule 2
5MMH_5_R.bin.11	False	6	Rule 2
5MMH_5_R.bin.13	False	3	Rule 2
5MMH_5_R.bin.14	False	6	Rule 2
5MMH_5_R.bin.16	False	3	Rule 2
5MMH_5_R.bin.18	False	6	Rule 2
5MMH_5_R.bin.19	False	6	Rule 2
5MMH_5_R.bin.20	False	6	Rule 2
5MMH_5_R.bin.21	False	6	Rule 2
5MMH_5_R.bin.24	False	6	Rule 2
5MMH_5_R.bin.25	False	6	Rule 2
5MMH_5_R.bin.26	False	6	Rule 2
5MMH_5_R.bin.29	False	3	Rule 2
5MMH_5_R.bin.30	False	6	Rule 2
5MMH_5_R.bin.34	False	6	Rule 2
5MMH_5_R.bin.35	False	3	Rule 2
5MMH_5_R.bin.36	False	6	Rule 2
5MMH_5_R.bin.37	False	6	Rule 2
5MMH_5_R.bin.7	False	6	Rule 2
5MMH_5_R.bin.9	False	6	Rule 2
